target,metric,spearman_rho,pvalue,n
input_n_peaks,peak_rate_per_ms,0.9053509765149362,2.08920926707655e-10,26
input_n_peaks,t90_ms,0.6933783214098524,8.591189182085132e-05,26
input_n_peaks,flits_profile_r_squared,0.6632466712626836,0.00022160783596923602,26
input_n_peaks,wavelet_char_scale_ms,0.6343306078611206,0.0005011581415625275,26
input_n_peaks,amplitude_entropy,0.6124433076424568,0.000882090673495832,26
input_n_peaks,wavelet_intermittency,0.2950098770222818,0.1434478110471055,26
input_n_peaks,acf_sigma_ms,0.2936084049224136,0.1454489899935659,26
input_n_peaks,sep_cv,0.2621989232743059,0.20545261700385842,25
input_n_peaks,acf_resid_rms,0.11842439243887323,0.5644907508931806,26
input_n_peaks,wavelet_rms,-0.34055772026800235,0.08867565313663688,26
input_n_peaks,flits_profile_resid_rms,-0.5679465684716376,0.0024733686487642937,26
input_n_peaks,wavelet_spikiness,-0.6050855791181481,0.0010570246833527521,26
input_n_peaks,wavelet_short_energy_ratio,-0.7186048192074823,3.549898113749842e-05,26
input_n_peaks,flits_profile_chi2_red,-0.7757148072771164,3.2301521123718546e-06,26
input_n_peaks,wavelet_scale_entropy,-0.8461387802954997,5.178248048902684e-08,26
input_n_peaks,wavelet_mvt_ms,,,26
peak_count,peak_rate_per_ms,0.9845952401913652,1.0900622872322374e-19,26
peak_count,t90_ms,0.8209524986018407,2.7824996981332256e-07,26
peak_count,wavelet_char_scale_ms,0.7275144095434375,2.5399088755458883e-05,26
peak_count,amplitude_entropy,0.6525168733674346,0.0003029458121717601,26
peak_count,flits_profile_r_squared,0.5717225490680041,0.00227882874613076,26
peak_count,sep_cv,0.4072436759914809,0.04332949753218583,25
peak_count,wavelet_intermittency,0.35912392453433317,0.07158138189674865,26
peak_count,acf_resid_rms,0.24306767056184606,0.23150211240470725,26
peak_count,acf_sigma_ms,0.22800432196364717,0.2626048192252348,26
peak_count,wavelet_rms,-0.4443687836468679,0.022944967103369195,26
peak_count,flits_profile_resid_rms,-0.5676143630866772,0.0024911439245206674,26
peak_count,wavelet_short_energy_ratio,-0.6672378731338564,0.00019665703871824783,26
peak_count,wavelet_spikiness,-0.684697663554496,0.00011415188802278883,26
peak_count,flits_profile_chi2_red,-0.8079432429943053,6.008995468399785e-07,26
peak_count,wavelet_scale_entropy,-0.8360158472000396,1.0526806406592592e-07,26
peak_count,wavelet_mvt_ms,,,26
